session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
hikvixuh,8,qsnw5xbp,10,captcha_quiz_a,Transcribe,1643056348,3,0,0
hikvixuh,7,wqiotvd0,28,captcha_quiz_a,Transcribe,1643056351,12,0,0
hikvixuh,3,00pvomse,50,captcha_quiz_a,Transcribe,1643056352,23,0,0
hikvixuh,2,q3vvrggo,20,captcha_quiz_a,Transcribe,1643056353,8,0,0
hikvixuh,7,wqiotvd0,30,captcha_quiz_a,Transcribe,1643056355,13,0,0
hikvixuh,6,k4ijpaz2,12,captcha_quiz_a,Transcribe,1643056355,4,0,0
hikvixuh,8,qsnw5xbp,12,captcha_quiz_a,Transcribe,1643056356,4,0,0
hikvixuh,2,q3vvrggo,22,captcha_quiz_a,Transcribe,1643056358,9,0,0
hikvixuh,7,wqiotvd0,32,captcha_quiz_a,Transcribe,1643056359,14,0,0
hikvixuh,3,00pvomse,52,captcha_quiz_a,Transcribe,1643056360,24,0,0
hikvixuh,8,qsnw5xbp,14,captcha_quiz_a,Transcribe,1643056362,5,0,0
hikvixuh,2,q3vvrggo,24,captcha_quiz_a,Transcribe,1643056362,10,0,0
hikvixuh,7,wqiotvd0,34,captcha_quiz_a,Transcribe,1643056363,15,0,0
hikvixuh,9,4f2j4znn,4,start_cont,effort,1643056363,1,0,0
hikvixuh,3,00pvomse,54,captcha_quiz_a,Transcribe,1643056364,25,0,0
hikvixuh,6,k4ijpaz2,14,captcha_quiz_a,Transcribe,1643056366,5,0,0
hikvixuh,2,q3vvrggo,26,captcha_quiz_a,Transcribe,1643056366,11,0,0
hikvixuh,7,wqiotvd0,36,captcha_quiz_a,Transcribe,1643056367,16,0,0
hikvixuh,3,00pvomse,56,captcha_quiz_a,Transcribe,1643056368,26,0,0
hikvixuh,7,wqiotvd0,38,captcha_quiz_a,Transcribe,1643056370,17,0,0
hikvixuh,8,qsnw5xbp,16,captcha_quiz_a,Transcribe,1643056372,6,0,0
hikvixuh,2,q3vvrggo,28,captcha_quiz_a,Transcribe,1643056372,12,0,0
hikvixuh,14,4aj23ncq,3,start_cont,MyPage,1643056372,1,0,0
hikvixuh,11,haot0ifr,3,start_cont,MyPage,1643056372,1,0,0
hikvixuh,7,wqiotvd0,40,captcha_quiz_a,Transcribe,1643056373,18,0,0
hikvixuh,6,k4ijpaz2,16,captcha_quiz_a,Transcribe,1643056375,6,0,0
hikvixuh,2,q3vvrggo,30,captcha_quiz_a,Transcribe,1643056377,13,0,0
hikvixuh,3,00pvomse,58,captcha_quiz_a,Transcribe,1643056377,27,0,0
hikvixuh,7,wqiotvd0,42,captcha_quiz_a,Transcribe,1643056378,19,0,0
hikvixuh,14,4aj23ncq,4,start_cont,effort,1643056382,1,0,0
hikvixuh,8,qsnw5xbp,18,captcha_quiz_a,Transcribe,1643056382,7,0,0
hikvixuh,7,wqiotvd0,44,captcha_quiz_a,Transcribe,1643056382,20,0,0
hikvixuh,3,00pvomse,60,captcha_quiz_a,Transcribe,1643056383,28,0,0
hikvixuh,6,k4ijpaz2,18,captcha_quiz_a,Transcribe,1643056383,7,0,0
hikvixuh,2,q3vvrggo,32,captcha_quiz_a,Transcribe,1643056384,14,0,0
hikvixuh,8,qsnw5xbp,20,captcha_quiz_a,Transcribe,1643056387,8,0,0
hikvixuh,15,ck0a1yo2,0,,InitializeParticipant,1643056387,1,0,0
hikvixuh,7,wqiotvd0,46,captcha_quiz_a,Transcribe,1643056387,21,0,0
hikvixuh,2,q3vvrggo,34,captcha_quiz_a,Transcribe,1643056388,15,0,0
hikvixuh,3,00pvomse,62,captcha_quiz_a,Transcribe,1643056389,29,0,0
hikvixuh,7,wqiotvd0,48,captcha_quiz_a,Transcribe,1643056391,22,0,0
hikvixuh,6,k4ijpaz2,20,captcha_quiz_a,Transcribe,1643056391,8,0,0
hikvixuh,2,q3vvrggo,36,captcha_quiz_a,Transcribe,1643056393,16,0,0
hikvixuh,3,00pvomse,64,captcha_quiz_a,Transcribe,1643056393,30,0,0
hikvixuh,8,qsnw5xbp,22,captcha_quiz_a,Transcribe,1643056394,9,0,0
hikvixuh,11,haot0ifr,4,start_cont,effort,1643056395,1,0,0
hikvixuh,7,wqiotvd0,50,captcha_quiz_a,Transcribe,1643056396,23,0,0
hikvixuh,2,q3vvrggo,38,captcha_quiz_a,Transcribe,1643056397,17,0,0
hikvixuh,15,ck0a1yo2,1,start_1,MyPage,1643056398,1,0,0
hikvixuh,6,k4ijpaz2,22,captcha_quiz_a,Transcribe,1643056399,9,0,0
hikvixuh,7,wqiotvd0,52,captcha_quiz_a,Transcribe,1643056402,24,0,0
hikvixuh,9,4f2j4znn,5,start_cont,comprehension_test,1643056404,1,0,0
hikvixuh,2,q3vvrggo,40,captcha_quiz_a,Transcribe,1643056404,18,0,0
hikvixuh,6,k4ijpaz2,24,captcha_quiz_a,Transcribe,1643056405,10,0,0
hikvixuh,7,wqiotvd0,54,captcha_quiz_a,Transcribe,1643056405,25,0,0
hikvixuh,8,qsnw5xbp,24,captcha_quiz_a,Transcribe,1643056409,10,0,0
hikvixuh,14,4aj23ncq,5,start_cont,comprehension_test,1643056409,1,0,0
hikvixuh,7,wqiotvd0,56,captcha_quiz_a,Transcribe,1643056410,26,0,0
hikvixuh,2,q3vvrggo,42,captcha_quiz_a,Transcribe,1643056411,19,0,0
hikvixuh,9,4f2j4znn,6,captcha_quiz_a,Transcribe,1643056411,1,0,0
hikvixuh,6,k4ijpaz2,26,captcha_quiz_a,Transcribe,1643056412,11,0,0
hikvixuh,11,haot0ifr,5,start_cont,comprehension_test,1643056412,1,0,0
hikvixuh,8,qsnw5xbp,26,captcha_quiz_a,Transcribe,1643056413,11,0,0
hikvixuh,7,wqiotvd0,58,captcha_quiz_a,Transcribe,1643056414,27,0,0
hikvixuh,2,q3vvrggo,44,captcha_quiz_a,Transcribe,1643056416,20,0,0
hikvixuh,6,k4ijpaz2,28,captcha_quiz_a,Transcribe,1643056420,12,0,0
hikvixuh,8,qsnw5xbp,28,captcha_quiz_a,Transcribe,1643056420,12,0,0
hikvixuh,7,wqiotvd0,60,captcha_quiz_a,Transcribe,1643056422,28,0,0
hikvixuh,9,4f2j4znn,8,captcha_quiz_a,Transcribe,1643056422,2,0,0
hikvixuh,3,00pvomse,65,captcha_quiz_a,Wait_for_timer,1643056422,30,1,0
hikvixuh,11,haot0ifr,6,captcha_quiz_a,Transcribe,1643056424,1,0,0
hikvixuh,14,4aj23ncq,6,captcha_quiz_a,Transcribe,1643056425,1,0,0
